timestep,HoeffdingTreeClassifier,GaussianNB,Perceptron
140,0.8857142857142857,0.8857142857142857,0.8928571428571429
141,0.8865248226950354,0.8865248226950354,0.8936170212765957
142,0.8873239436619719,0.8873239436619719,0.8943661971830986
143,0.8811188811188811,0.8811188811188811,0.8951048951048951
144,0.8819444444444444,0.8819444444444444,0.8958333333333334
145,0.8827586206896552,0.8827586206896552,0.896551724137931
146,0.8835616438356164,0.8835616438356164,0.8972602739726028
147,0.8843537414965986,0.8843537414965986,0.8979591836734694
148,0.8851351351351351,0.8851351351351351,0.8986486486486487
149,0.8859060402684564,0.8859060402684564,0.8993288590604027
150,0.8866666666666667,0.8866666666666667,0.9
151,0.8874172185430463,0.8874172185430463,0.9006622516556292
152,0.8881578947368421,0.8881578947368421,0.9013157894736842
153,0.8888888888888888,0.8888888888888888,0.9019607843137255
154,0.8896103896103896,0.8896103896103896,0.9025974025974026
155,0.8903225806451613,0.8903225806451613,0.9032258064516129
156,0.8910256410256411,0.8910256410256411,0.9038461538461539
157,0.8853503184713376,0.8853503184713376,0.9044585987261147
158,0.8860759493670886,0.8860759493670886,0.9050632911392406
159,0.8867924528301887,0.8867924528301887,0.9056603773584906
160,0.8875,0.8875,0.90625
161,0.8881987577639752,0.8881987577639752,0.906832298136646
162,0.8888888888888888,0.8888888888888888,0.9074074074074074
163,0.8895705521472392,0.8895705521472392,0.9079754601226994
164,0.8902439024390244,0.8902439024390244,0.9024390243902439
165,0.8909090909090909,0.8909090909090909,0.9030303030303031
166,0.891566265060241,0.891566265060241,0.9036144578313253
167,0.8922155688622755,0.8922155688622755,0.9041916167664671
168,0.8928571428571429,0.8928571428571429,0.9047619047619048
169,0.8875739644970414,0.8875739644970414,0.9053254437869822
170,0.888235294117647,0.888235294117647,0.9058823529411765
171,0.8888888888888888,0.8888888888888888,0.9064327485380117
172,0.8895348837209303,0.8895348837209303,0.9069767441860465
173,0.8901734104046243,0.8901734104046243,0.9075144508670521
174,0.8908045977011494,0.8908045977011494,0.9080459770114943
175,0.8914285714285715,0.8914285714285715,0.9085714285714286
176,0.8920454545454546,0.8920454545454546,0.9090909090909091
177,0.8926553672316384,0.8926553672316384,0.9096045197740112
178,0.8932584269662921,0.8932584269662921,0.9101123595505618
179,0.8938547486033519,0.8938547486033519,0.9106145251396648
180,0.8944444444444445,0.8944444444444445,0.9111111111111111
181,0.8950276243093923,0.8950276243093923,0.9116022099447514
182,0.8956043956043956,0.8956043956043956,0.9120879120879121
183,0.8961748633879781,0.8961748633879781,0.912568306010929
184,0.8913043478260869,0.8913043478260869,0.9130434782608695
185,0.8918918918918919,0.8918918918918919,0.9081081081081082
186,0.8870967741935484,0.8870967741935484,0.9032258064516129
187,0.8877005347593583,0.8877005347593583,0.9037433155080213
188,0.8882978723404256,0.8882978723404256,0.9042553191489362
189,0.8888888888888888,0.8888888888888888,0.9047619047619048
190,0.8894736842105263,0.8894736842105263,0.9052631578947369
191,0.8900523560209425,0.8900523560209425,0.9057591623036649
192,0.890625,0.890625,0.90625
193,0.8911917098445595,0.8911917098445595,0.9067357512953368
194,0.8917525773195877,0.8917525773195877,0.9020618556701031
